
    1	   78	inf.	   0.00	1	      4438	      4350
    2	   78	inf.	   0.13	1	     53656	     53222
    3	   68	inf.	   0.14	1	     69497	     69130
    4	   93	inf.	   0.08	1	     50040	     48105
    5	   73	inf.	   0.86	1	    258103	    258039
    6	   66	inf.	   0.02	1	     15638	     15138
    7	   78	inf.	   0.72	1	    330256	    329170
    8	   60	inf.	   0.08	1	     42633	     41637
    9	   82	inf.	   0.05	1	     28669	     27896
   10	   84	inf.	   0.00	1	      2947	      2907
   11	   62	inf.	   0.05	1	     34041	     33894
   12	   68	inf.	   0.08	1	     42358	     42253
   13	   74	inf.	   0.03	1	     22502	     22124
   14	   61	inf.	   0.00	1	      7922	      7596
   15	   55	inf.	   0.06	1	     47193	     46649
   16	   73	inf.	   0.17	1	     57466	     57048
   17	   80	inf.	   0.19	1	     90701	     90305
   18	   68	inf.	   0.02	1	     12311	     12025
   19	   60	inf.	   0.03	1	     20473	     20326
   20	   72	inf.	   0.02	1	     11253	     11090
   21	   76	inf.	   5.67	1	   1023112	   1022803
   22	   70	inf.	   1.45	1	    521773	    512094
   23	   74	inf.	   8.55	1	   1521693	   1510900
   24	   67	inf.	   0.17	1	     66890	     66557
   25	   58	inf.	   1.69	1	    595273	    594749
   26	   67	inf.	  20.61	1	   3395609	   3377431
   27	   73	inf.	   3.00	1	    805068	    792061
   28	   62	inf.	   0.42	1	    185063	    184573
   29	   77	inf.	   2.73	1	    576451	    576374
   30	   67	inf.	  39.56	1	   3841078	   3827205
   31	   72	inf.	   2.19	1	    501263	    498438
   32	   71	inf.	   0.52	1	    246074	    245432
   33	   64	inf.	   3.73	1	   1239337	   1206241
   34	   84	inf.	   1.66	1	    629084	    622936
   35	   73	inf.	   5.92	1	   1246376	   1218232
   36	   78	inf.	   3.72	1	   1165058	   1161814
   37	   79	inf.	   0.30	1	    110916	    110772
   38	   72	inf.	   3.05	1	   1044543	   1034523
   39	   74	inf.	   2.41	1	    593329	    593218
   40	   81	inf.	 100.02	0	  19892909	  19525176
   41	   64	inf.	  65.89	1	   5742728	   5729570
   42	   69	inf.	 100.89	0	   8733775	   8717584
   43	   72	inf.	  12.38	1	   2119305	   2086232
   44	   61	inf.	  79.06	1	   5929502	   5927351
   45	   65	inf.	 100.13	0	   8287103	   8281122
   46	   69	inf.	  44.63	1	   4510474	   4479768
   47	   54	inf.	   2.20	1	    409169	    407522
   48	   65	inf.	 100.77	0	   9607349	   9518907
   49	   67	inf.	  12.58	1	   2113957	   2097804
   50	   62	inf.	  33.41	1	   4252663	   4233837
   51	   67	inf.	  19.52	1	   2084884	   2082434
   52	   57	inf.	   7.50	1	    992294	    991249
   53	   69	inf.	 101.67	0	   6501235	   6484011
   54	   74	inf.	  12.70	1	   1997660	   1987724
   55	   61	inf.	  50.30	1	   4735525	   4734157
   56	   70	inf.	 100.27	0	   6049908	   6044476
   57	   58	inf.	   1.63	1	    348955	    348509
   58	   73	inf.	  43.89	1	   3911761	   3867711
   59	   58	inf.	 101.92	0	   7110968	   7105852
   60	   66	inf.	 100.69	0	   6264588	   6248345
   61	   75	inf.	 100.28	0	   9543092	   9530082
   62	   75	inf.	 100.03	0	   8952177	   8787656
   63	   54	inf.	 100.99	0	   9000274	   8952612
   64	   58	inf.	 100.42	0	   6959494	   6953398
   65	   65	inf.	 100.24	0	  14045406	  13745100
   66	   69	inf.	 100.97	0	   6188055	   6156978
   67	   76	inf.	 101.69	0	   5342143	   5289457
   68	   61	inf.	 101.94	0	   5505358	   5504218
   69	   61	inf.	 100.81	0	   8506363	   8470433
   70	   61	inf.	 101.36	0	   6344713	   6339752
   71	   70	inf.	 101.58	0	   8575861	   8562884
   72	   76	inf.	 100.74	0	   9654737	   9603444
   73	   60	inf.	 100.69	0	   7100016	   7085842
